unit_number,observed_cycles,actual_rul_at_stop,total_cycles,is_censored,has_rare_fault,fault_type,fault_sensor,fault_sensor_index,fault_start,fault_end,fault_duration,fault_magnitude
1,130,19,149,True,False,,,,,,0,0.0
3,135,71,206,True,False,,,,,,0,0.0
4,135,100,235,True,False,,,,,,0,0.0
5,135,19,154,True,False,,,,,,0,0.0
6,135,40,175,True,False,,,,,,0,0.0
8,132,19,151,True,False,,,,,,0,0.0
9,131,68,199,True,False,,,,,,0,0.0
10,132,52,184,True,True,drop,P30,3.0,108.0,116.0,8,0.09557692053736455
13,131,96,227,True,False,,,,,,0,0.0
14,130,63,193,True,False,,,,,,0,0.0
19,130,33,163,True,True,drift,phi,5.0,84.0,87.0,3,0.09121934285862252
21,130,59,189,True,False,,,,,,0,0.0
22,131,61,192,True,False,,,,,,0,0.0
25,131,74,205,True,False,,,,,,0,0.0
26,135,52,187,True,True,drift,T50,2.0,72.0,74.0,2,0.03922755524505647
27,130,46,176,True,True,drift,W32,8.0,93.0,97.0,4,0.07067816264546317
28,134,66,200,True,True,drift,BPR,6.0,61.0,70.0,9,0.08172888027408792
29,134,17,151,True,True,plateau,T24,0.0,123.0,130.0,7,0.0
30,132,34,166,True,False,,,,,,0,0.0
33,135,60,195,True,True,plateau,T24,0.0,88.0,96.0,8,0.0
34,135,70,205,True,False,,,,,,0,0.0
38,132,45,177,True,False,,,,,,0,0.0
39,133,81,214,True,False,,,,,,0,0.0
40,134,59,193,True,False,,,,,,0,0.0
46,133,68,201,True,False,,,,,,0,0.0
47,135,111,246,True,False,,,,,,0,0.0
49,132,36,168,True,False,,,,,,0,0.0
51,131,162,293,True,False,,,,,,0,0.0
52,132,42,174,True,False,,,,,,0,0.0
53,135,13,148,True,False,,,,,,0,0.0
55,134,25,159,True,True,drift,phi,5.0,94.0,96.0,2,0.040232127093488876
56,131,32,163,True,False,,,,,,0,0.0
57,134,6,140,True,True,drift,T30,1.0,98.0,108.0,10,0.04993040576365549
60,133,44,177,True,True,plateau,BPR,6.0,61.0,67.0,6,0.0
63,130,38,168,True,False,,,,,,0,0.0
66,134,36,170,True,True,drift,W32,8.0,72.0,78.0,6,0.047457130308254825
67,131,14,145,True,False,,,,,,0,0.0
68,135,50,185,True,True,drop,W32,8.0,87.0,89.0,2,0.03711703320326012
69,133,3,136,True,False,,,,,,0,0.0
71,130,64,194,True,False,,,,,,0,0.0
72,130,66,196,True,True,drift,W32,8.0,109.0,118.0,9,0.0985699476410615
73,131,108,239,True,False,,,,,,0,0.0
74,134,24,158,True,False,,,,,,0,0.0
75,133,98,231,True,True,drift,T50,2.0,94.0,103.0,9,0.09003005008857903
76,133,111,244,True,False,,,,,,0,0.0
79,134,47,181,True,False,,,,,,0,0.0
80,132,89,221,True,False,,,,,,0,0.0
81,130,158,288,True,False,,,,,,0,0.0
82,130,70,200,True,False,,,,,,0,0.0
83,133,37,170,True,False,,,,,,0,0.0
84,131,128,259,True,False,,,,,,0,0.0
85,134,213,347,True,False,,,,,,0,0.0
86,131,59,190,True,False,,,,,,0,0.0
87,131,39,170,True,False,,,,,,0,0.0
88,131,234,365,True,False,,,,,,0,0.0
89,135,53,188,True,False,,,,,,0,0.0
90,132,56,188,True,False,,,,,,0,0.0
91,135,110,245,True,False,,,,,,0,0.0
92,135,53,188,True,False,,,,,,0,0.0
93,133,56,189,True,False,,,,,,0,0.0
94,133,173,306,True,False,,,,,,0,0.0
95,131,67,198,True,False,,,,,,0,0.0
96,134,74,208,True,False,,,,,,0,0.0
97,133,12,145,True,True,drift,phi,5.0,99.0,109.0,10,0.08080009397899988
99,130,72,202,True,True,drop,T30,1.0,104.0,114.0,10,0.09712161721363563
100,131,81,212,True,False,,,,,,0,0.0
101,134,77,211,True,False,,,,,,0,0.0
102,135,29,164,True,False,,,,,,0,0.0
104,134,94,228,True,False,,,,,,0,0.0
105,134,169,303,True,True,drop,T30,1.0,102.0,108.0,6,0.06954654280307093
107,131,14,145,True,False,,,,,,0,0.0
108,132,24,156,True,False,,,,,,0,0.0
109,132,88,220,True,False,,,,,,0,0.0
112,135,243,378,True,False,,,,,,0,0.0
113,134,98,232,True,False,,,,,,0,0.0
115,130,76,206,True,True,drift,BPR,6.0,67.0,76.0,9,0.07605042995283695
116,130,77,207,True,False,,,,,,0,0.0
118,135,209,344,True,False,,,,,,0,0.0
119,134,40,174,True,False,,,,,,0,0.0
120,129,0,129,False,False,,,,,,0,0.0
121,135,75,210,True,False,,,,,,0,0.0
122,134,51,185,True,False,,,,,,0,0.0
124,132,135,267,True,True,drift,W32,8.0,66.0,69.0,3,0.06065328260391273
125,134,34,168,True,False,,,,,,0,0.0
126,132,67,199,True,False,,,,,,0,0.0
127,135,121,256,True,False,,,,,,0,0.0
128,135,168,303,True,False,,,,,,0,0.0
129,130,72,202,True,False,,,,,,0,0.0
131,132,148,280,True,False,,,,,,0,0.0
132,135,48,183,True,True,drift,W31,7.0,121.0,125.0,4,0.03853451748345788
133,133,26,159,True,False,,,,,,0,0.0
134,130,117,247,True,True,drift,BPR,6.0,91.0,93.0,2,0.05067513177408629
135,134,160,294,True,False,,,,,,0,0.0
136,131,29,160,True,False,,,,,,0,0.0
139,132,62,194,True,False,,,,,,0,0.0
144,134,90,224,True,True,drift,T24,0.0,129.0,134.0,5,0.04987359065048273
145,135,116,251,True,False,,,,,,0,0.0
146,130,133,263,True,False,,,,,,0,0.0
147,130,77,207,True,False,,,,,,0,0.0
148,130,149,279,True,True,drop,W31,7.0,116.0,124.0,8,0.04685796406288029
149,130,159,289,True,True,drift,T30,1.0,110.0,118.0,8,0.09374467589916198
150,131,91,222,True,True,drop,T30,1.0,60.0,62.0,2,0.07241476243534095
151,130,47,177,True,False,,,,,,0,0.0
152,135,49,184,True,False,,,,,,0,0.0
153,131,161,292,True,True,drift,W32,8.0,120.0,129.0,9,0.08404758793730664
154,135,58,193,True,False,,,,,,0,0.0
155,134,92,226,True,True,drop,T30,1.0,68.0,71.0,3,0.06531716931350906
156,133,166,299,True,False,,,,,,0,0.0
157,134,103,237,True,False,,,,,,0,0.0
159,132,109,241,True,False,,,,,,0,0.0
160,130,82,212,True,True,plateau,BPR,6.0,66.0,70.0,4,0.0
